ticker,ex_dividend_date,pay_date,cash_amount
ABLLL,2024-05-13,2024-05-15,0.6172000000000001
AFGD,2024-05-14,2024-06-03,0.3515625
ASBA,2024-05-14,2024-06-03,0.41409999999999997
BKDT,2024-05-13,2024-05-15,0.875
CCIA,2024-05-17,2024-05-31,0.1823
CCNEP,2024-05-16,2024-05-31,0.4453125
CMSD,2024-05-16,2024-06-03,0.3671875
DTG,2024-05-16,2024-06-03,0.2734375
DTW,2024-05-16,2024-06-03,0.328125
OXLCM,2024-05-16,2024-05-31,0.140625
OXLCN,2024-05-16,2024-05-31,0.1484375
OXLCO,2024-05-16,2024-05-31,0.125
OXLCP,2024-05-16,2024-05-31,0.13020833
PFH,2024-05-14,2024-06-03,0.2578125
PNFPP,2024-05-16,2024-06-01,0.422
PRH,2024-05-14,2024-06-03,0.3719
RWAYL,2024-05-14,2024-06-01,0.46875
RWAYZ,2024-05-14,2024-06-01,0.5
SAJ,2024-05-14,2024-05-31,0.5
SAT,2024-05-14,2024-05-31,0.3875
SAY,2024-05-14,2024-05-31,0.5078
SAZ,2024-05-14,2024-05-31,0.5312
